version,num_workers,bucket_size,spawn_threshold,total_time,tree_time,forces_time,bodies_time
5,128,4,500,37.892414,29.549812,1.5346217,0.32367757
5,128,4,500,38.10218,29.590174,1.5274844,0.32761797
5,128,4,500,38.560787,30.34814,1.5357411,0.32287493
5,128,4,500,36.54943,28.803215,1.528604,0.3265483
5,128,4,500,39.42426,30.95958,1.5389159,0.32805783
6,1,4,500,454.1848,26.581974,423.72723,0.07961698
6,1,4,500,490.93173,28.660341,458.045,0.08029012
6,1,4,500,455.10513,26.703667,424.48862,0.07959791
6,1,4,500,453.24637,26.593542,422.80054,0.079960234
6,1,4,500,456.52713,26.76167,425.77368,0.07978317
6,1,4,500,490.60837,28.767036,457.67087,0.081012025
6,2,4,500,271.15308,27.50391,240.15715,0.08031322
6,2,4,500,270.49557,27.503485,239.58244,0.080879025
6,2,4,500,267.8834,27.49055,236.96266,0.0795264
6,2,4,500,270.08762,27.469395,239.19243,0.07910716
6,2,4,500,270.55923,27.288582,239.84601,0.0793916
6,2,4,500,268.23944,27.604076,237.1958,0.07897661
6,4,4,500,159.22583,29.08043,126.55197,0.07957969
6,4,4,500,152.83263,28.530937,120.68078,0.07976166
6,4,4,500,151.70609,28.067978,120.11604,0.07872427
6,4,4,500,153.22806,28.568531,121.08837,0.07937911
6,4,4,500,150.3745,28.498333,118.29353,0.07788352
6,4,4,500,151.31418,28.490114,119.25808,0.07858529
6,8,4,500,94.70357,29.28158,61.622982,0.076614246
6,8,4,500,96.44531,29.560305,63.01947,0.077202216
6,8,4,500,92.65903,28.877327,59.96026,0.07704305
6,8,4,500,96.674866,29.529583,63.287952,0.07732984
6,8,4,500,92.95566,28.670973,60.50439,0.077447325
6,8,4,500,96.21047,29.544865,62.792763,0.077611275
6,16,4,500,63.71735,29.071495,30.639502,0.07743742
6,16,4,500,64.34123,29.462027,30.869436,0.07725429
6,16,4,500,63.592876,28.966034,30.598722,0.076957434
6,16,4,500,64.975266,29.652945,31.283222,0.07818965
6,16,4,500,63.718605,29.054377,30.661825,0.077012174
6,16,4,500,64.363716,29.4928,30.88565,0.07731901
6,32,4,500,63.898624,35.005077,21.950512,0.09219641
6,32,4,500,64.56796,34.91509,22.388256,0.09797275
6,32,4,500,65.24374,35.510082,22.536993,0.10344608
6,32,4,500,65.312706,35.40231,22.82023,0.092727385
6,32,4,500,64.91562,35.39956,22.512972,0.09311431
6,32,4,500,65.65084,35.613453,22.806154,0.09134573
6,48,4,500,61.402744,37.372616,15.466609,0.092453755
6,48,4,500,64.51511,38.738712,16.760641,0.09919205
6,48,4,500,62.55827,37.5841,16.495295,0.09749703
6,48,4,500,62.14611,36.90422,16.561747,0.09736795
6,48,4,500,62.418125,37.116722,16.56408,0.094882354
6,48,4,500,63.741947,38.726048,16.428167,0.09536801
6,64,4,500,63.123848,38.48026,15.868363,0.10005406
6,64,4,500,62.593105,38.6597,15.031099,0.09751541
6,64,4,500,60.66901,38.141468,13.740067,0.0908769
6,64,4,500,62.696922,39.789955,13.797775,0.09335466
6,64,4,500,62.551907,40.031914,13.363107,0.09288257
6,64,4,500,61.120308,38.785652,13.731316,0.09629977
6,80,4,500,62.264343,39.719963,13.477895,0.09359327
6,80,4,500,62.397865,39.724102,13.42051,0.09924965
6,80,4,500,61.50646,39.189205,13.222756,0.0965778
6,80,4,500,63.762737,40.974777,13.433587,0.093688905
6,80,4,500,64.3061,41.398983,13.665522,0.09639281
6,80,4,500,64.71013,41.43119,13.926449,0.09722684
6,96,4,500,61.673428,39.449547,13.255246,0.10515093
6,96,4,500,61.60731,39.69864,12.958503,0.09645501
6,96,4,500,62.78767,40.271564,13.4835825,0.09847286
6,96,4,500,62.493954,40.081486,13.45286,0.101962626
6,96,4,500,63.12833,40.51201,13.440163,0.09826565
6,96,4,500,63.68814,40.936687,13.558287,0.103656046
6,112,4,500,63.200436,41.62462,13.383782,0.10075697
6,112,4,500,64.13942,42.465828,13.46282,0.093168065
6,112,4,500,63.67591,41.94667,13.503181,0.09601627
6,112,4,500,62.177464,40.30478,13.676058,0.1205013
6,112,4,500,62.72965,41.07887,13.588627,0.10009872
6,112,4,500,61.329346,40.160683,13.240719,0.10663929
6,128,4,500,62.07937,40.15464,12.570444,0.09074142
6,128,4,500,64.583015,41.87787,13.172722,0.09031865
6,128,4,500,61.23039,39.15652,12.754166,0.11339964
6,128,4,500,62.54438,40.576077,12.70081,0.10464227
6,128,4,500,63.537964,40.904663,13.182989,0.10073376
6,128,4,500,62.544163,40.07523,13.129245,0.10247125
2,1,4,500,164.19069,19.431087,142.03217,0.24947953
2,1,4,500,164.44844,19.692488,142.04541,0.24810469
2,1,4,500,164.12079,19.336308,142.04323,0.24817047
2,1,4,500,164.07516,19.354414,141.99307,0.24785596
2,1,4,500,164.25038,19.287031,142.231,0.24744287
2,1,4,500,165.34723,19.842854,142.78764,0.24768521
2,2,4,500,94.99084,20.214285,71.66421,0.25311252
2,2,4,500,95.312035,20.251959,71.88585,0.25163612
2,2,4,500,95.14006,19.87151,71.719986,0.2565313
2,2,4,500,95.00829,19.866957,71.72897,0.25233278
2,2,4,500,95.30767,20.029676,71.78221,0.25205296
2,2,4,500,95.36432,20.362717,71.81526,0.25244063
2,4,4,500,58.309822,19.507895,35.82669,0.25195178
2,4,4,500,58.34343,19.649548,35.80951,0.25227067
2,4,4,500,58.265095,19.558098,35.839973,0.2522895
2,4,4,500,59.002308,19.977154,35.888844,0.2529082
2,4,4,500,58.95931,19.417658,35.825245,0.25255993
2,4,4,500,58.544006,19.423347,35.729393,0.25152287
2,8,4,500,40.32304,19.495565,17.881077,0.25323966
2,8,4,500,40.925556,19.706085,17.838709,0.25455517
2,8,4,500,40.26541,19.453936,17.877052,0.25380996
2,8,4,500,40.302124,19.43864,17.880013,0.25492492
2,8,4,500,40.420506,19.584915,17.872772,0.25444978
2,8,4,500,40.35934,19.552107,17.868155,0.25490087
2,16,4,500,31.741571,19.638248,9.045296,0.2584483
2,16,4,500,31.732372,19.60936,9.066441,0.25852373
2,16,4,500,31.696215,19.287273,9.055055,0.25954348
2,16,4,500,31.879385,19.774029,9.068907,0.26358733
2,16,4,500,31.98047,19.96311,9.030973,0.2566477
2,16,4,500,31.887207,19.381,9.064998,0.25801548
2,32,4,500,32.795437,22.474056,4.6751413,0.29418328
2,32,4,500,33.03247,22.675821,4.6785555,0.28969988
2,32,4,500,32.06369,22.458187,4.668402,0.2905387
2,32,4,500,33.08759,23.221983,4.6614933,0.3035651
2,32,4,500,33.159737,23.426111,4.654546,0.3039517
2,32,4,500,32.65529,23.22134,4.679231,0.29929936
2,48,4,500,33.23596,24.579971,3.154139,0.2993235
2,48,4,500,34.60184,24.92265,3.1551018,0.31183165
2,48,4,500,32.823505,24.1766,3.1686935,0.30207843
2,48,4,500,33.00949,24.224245,3.1563003,0.30569977
2,48,4,500,34.27695,25.532518,3.1492612,0.3068413
2,48,4,500,33.38775,24.655125,3.1537664,0.3064369
2,64,4,500,33.279263,24.72579,2.4515107,0.3108456
2,64,4,500,32.980244,23.993544,2.4451632,0.30590573
2,64,4,500,33.292446,24.796156,2.434134,0.3044933
2,64,4,500,33.534122,24.982872,2.4537625,0.3188088
2,64,4,500,33.77235,25.069614,2.4352798,0.31317306
2,64,4,500,32.56774,23.841427,2.4459896,0.32376522
2,80,4,500,34.931984,25.930094,2.0686963,0.31125876
2,80,4,500,34.798176,26.262953,2.0881546,0.31223226
2,80,4,500,34.073185,24.904915,2.0888236,0.31972033
2,80,4,500,34.10888,25.781885,2.077378,0.30885646
2,80,4,500,34.20989,24.960815,2.0781577,0.3198201
2,80,4,500,35.345554,26.155235,2.0861795,0.31077534
2,96,4,500,34.504253,26.18866,1.8446094,0.31542704
2,96,4,500,34.050243,25.016142,1.8449547,0.31133053
2,96,4,500,34.04926,24.967852,1.8437699,0.31399742
2,96,4,500,36.267197,27.77065,1.8354487,0.32389054
2,96,4,500,33.940723,25.08503,1.8418565,0.30552542
2,96,4,500,34.113113,25.147236,1.8322005,0.3152951
2,112,4,500,35.44832,26.995354,1.6891518,0.32144588
2,112,4,500,34.93522,26.244085,1.6804428,0.31045172
2,112,4,500,35.282677,26.144434,1.6886454,0.31582996
2,112,4,500,34.86151,26.328749,1.6869385,0.31948292
2,112,4,500,35.939674,26.8707,1.6784987,0.3165419
2,112,4,500,35.255062,25.984375,1.682174,0.3215072
2,128,4,500,34.789093,25.824501,1.5490141,0.32376215
2,128,4,500,35.069973,25.901245,1.544877,0.32321465
2,128,4,500,37.91391,29.09592,1.5484347,0.3239619
2,128,4,500,36.57203,27.774504,1.5471659,0.32877338
2,128,4,500,34.913513,25.62396,1.5468365,0.3255684
2,128,4,500,36.142467,27.627296,1.5434153,0.32618234
7,1,4,500,184.46326,20.77353,160.33978,0.27328455
7,1,4,500,173.66998,26.881903,142.86511,0.25309345
7,1,4,500,164.60307,20.015131,141.90454,0.24827462
7,1,4,500,164.21486,19.368496,142.21855,0.24836686
7,1,4,500,168.5858,22.564922,143.33699,0.24762264
7,1,4,500,165.59787,19.55097,143.36891,0.24951558
10,1,4,500,159.308592378,19.828889506,134.188370103,0.113545217
10,1,4,500,158.139875359,19.865804303,132.933661184,0.114376703
10,1,4,500,158.179757892,19.830004566,133.005056254,0.113396260
10,1,4,500,158.056047058,19.816475299,132.878699352,0.114567449
10,1,4,500,158.210971216,19.775398145,133.005698292,0.112990840
10,1,4,500,158.500866677,19.824799646,133.329925522,0.114409555
11,1,4,500,161.501599247,22.413540115,135.471252904,0.086117763
11,1,4,500,159.033675376,21.837015518,133.663757679,0.087011897
11,1,4,500,161.112212919,22.374235956,135.096228815,0.085229573
11,1,4,500,159.045376863,21.878006666,133.576714462,0.086149722
11,1,4,500,161.190165320,22.347278388,135.207464438,0.085584807
11,1,4,500,160.175994600,22.176711689,134.379602479,0.085976290
11,2,4,500,94.196029526,22.559066124,67.805939569,0.086136113
11,2,4,500,94.361238900,22.731932318,67.829054706,0.085840155
11,2,4,500,93.378300779,22.312383178,67.244008851,0.086910785
11,2,4,500,94.166232059,22.654973013,67.694586432,0.085737596
11,2,4,500,94.359491250,22.617241572,67.925543740,0.086455214
11,2,4,500,94.373711758,22.633188176,67.947292303,0.085798896
11,4,4,500,60.761994541,22.869871824,34.178145898,0.085368584
11,4,4,500,60.507710990,22.632799396,34.195493259,0.085556090
11,4,4,500,60.811987756,22.900838549,34.227495334,0.085884357
