version,num_workers,depth,dim,time_secs
2,80,7,64,3.2761319
2,80,7,64,3.369316
2,80,7,64,3.2702248
2,80,7,64,3.2810972
2,96,7,64,2.8806205
2,96,7,64,2.9073203
2,96,7,64,2.8710806
2,96,7,64,2.9139428
2,96,7,64,2.881866
2,96,7,64,2.9225912
2,112,7,64,2.6778631
2,112,7,64,2.6171763
2,112,7,64,2.6500115
2,112,7,64,2.640452
2,112,7,64,2.6691434
2,112,7,64,2.6609454
2,128,7,64,2.4886794
2,128,7,64,2.4747262
2,128,7,64,2.4587774
2,128,7,64,2.4745383
2,128,7,64,2.5252986
2,128,7,64,2.4708076
3,1,7,64,139.96889
3,1,7,64,139.43552
3,1,7,64,139.69708
3,1,7,64,139.92831
3,1,7,64,139.66188
3,1,7,64,139.82861
3,2,7,64,70.47034
3,2,7,64,70.400345
3,2,7,64,70.63242
3,2,7,64,70.43555
3,2,7,64,70.525734
3,2,7,64,70.467255
3,4,7,64,35.208553
3,4,7,64,35.193127
3,4,7,64,35.181786
3,4,7,64,35.154003
3,4,7,64,35.133728
3,4,7,64,35.143764
3,8,7,64,19.729761
3,8,7,64,17.790424
3,8,7,64,18.101168
3,8,7,64,18.027903
3,8,7,64,17.994896
3,8,7,64,18.127153
3,16,7,64,9.873846
3,16,7,64,10.062903
3,16,7,64,10.050088
3,16,7,64,9.320649
3,16,7,64,9.354655
3,16,7,64,9.460912
3,32,7,64,4.9730277
3,32,7,64,4.9683414
3,32,7,64,4.845842
3,32,7,64,4.872667
3,32,7,64,4.849207
3,32,7,64,4.8532085
3,48,7,64,3.52816
3,48,7,64,3.5715404
3,48,7,64,3.5139375
3,48,7,64,3.498478
3,48,7,64,3.4780896
3,48,7,64,3.509646
3,64,7,64,2.8064258
3,64,7,64,2.806488
3,64,7,64,2.829907
3,64,7,64,2.8259234
3,64,7,64,2.776403
3,64,7,64,2.7654004
3,80,7,64,2.3698072
3,80,7,64,2.4375293
3,80,7,64,2.4145336
3,80,7,64,2.3666835
3,80,7,64,2.4582071
3,80,7,64,2.3953865
3,96,7,64,2.1400375
3,96,7,64,2.135338
3,96,7,64,2.1463134
3,96,7,64,2.1352253
3,96,7,64,2.1678178
3,96,7,64,2.1251042
3,112,7,64,1.9504106
3,112,7,64,1.9634972
3,112,7,64,1.95067
3,112,7,64,1.9429004
3,112,7,64,1.9599516
3,112,7,64,1.9720199
3,128,7,64,1.8350354
3,128,7,64,1.8405704
3,128,7,64,1.8175334
3,128,7,64,1.8264999
3,128,7,64,1.8335322
3,128,7,64,1.8662853
5,1,7,64,518.52576
5,1,7,64,518.61896
5,1,7,64,518.6112
5,1,7,64,518.6437
5,1,7,64,518.8274
5,1,7,64,518.5777
5,2,7,64,260.27048
5,2,7,64,260.28506
5,2,7,64,260.25177
5,2,7,64,260.33115
5,2,7,64,260.28754
5,2,7,64,260.17804
5,4,7,64,130.66153
5,4,7,64,130.50543
5,4,7,64,130.49223
5,4,7,64,130.57932
5,4,7,64,130.63515
5,4,7,64,130.59435
5,8,7,64,65.361
5,8,7,64,65.48876
5,8,7,64,65.43987
5,8,7,64,65.464584
5,8,7,64,65.434525
5,8,7,64,65.405014
5,16,7,64,33.31427
5,16,7,64,33.3068
5,16,7,64,33.29801
5,16,7,64,33.293076
5,16,7,64,33.297764
5,16,7,64,33.309307
5,32,7,64,16.937555
5,32,7,64,16.923664
5,32,7,64,16.942102
5,32,7,64,16.951038
5,32,7,64,16.938906
5,32,7,64,16.93335
5,48,7,64,11.793669
5,48,7,64,11.809092
5,48,7,64,11.836465
5,48,7,64,11.866717
5,48,7,64,11.8389225
5,48,7,64,11.828623
5,64,7,64,9.679419
5,64,7,64,9.674323
5,64,7,64,9.666895
5,64,7,64,9.662522
5,64,7,64,9.617989
5,64,7,64,9.6425705
5,80,7,64,8.393116
5,80,7,64,8.363867
5,80,7,64,8.406456
5,80,7,64,8.347571
5,80,7,64,8.29909
5,80,7,64,8.379963
5,96,7,64,7.5143237
5,96,7,64,7.55033
5,96,7,64,7.5672517
5,96,7,64,7.573418
5,96,7,64,7.4791336
5,96,7,64,7.584615
