version,num_workers,threshold,array_length,random_seed,time_secs
2,96,2097152,2000000000,42,5.5798345
2,96,2097152,2000000000,42,5.8729906
2,96,2097152,2000000000,42,6.0107856
2,112,2097152,2000000000,42,5.7951546
2,112,2097152,2000000000,42,5.4137187
2,112,2097152,2000000000,42,5.664978
2,112,2097152,2000000000,42,6.036325
2,112,2097152,2000000000,42,5.114269
2,112,2097152,2000000000,42,5.690681
2,128,2097152,2000000000,42,5.8452253
2,128,2097152,2000000000,42,5.7363477
2,128,2097152,2000000000,42,5.7812147
2,128,2097152,2000000000,42,5.16295
2,128,2097152,2000000000,42,5.088018
2,128,2097152,2000000000,42,5.5072923
3,1,2097152,2000000000,42,144.04778
3,1,2097152,2000000000,42,144.09834
3,1,2097152,2000000000,42,144.09465
3,1,2097152,2000000000,42,144.33058
3,1,2097152,2000000000,42,144.321
3,1,2097152,2000000000,42,144.08449
3,2,2097152,2000000000,42,72.278015
3,2,2097152,2000000000,42,72.28057
3,2,2097152,2000000000,42,72.17913
3,2,2097152,2000000000,42,72.39816
3,2,2097152,2000000000,42,72.339584
3,2,2097152,2000000000,42,72.172295
3,4,2097152,2000000000,42,36.892487
3,4,2097152,2000000000,42,36.76789
3,4,2097152,2000000000,42,36.414772
3,4,2097152,2000000000,42,36.62639
3,4,2097152,2000000000,42,36.919235
3,4,2097152,2000000000,42,36.566525
3,8,2097152,2000000000,42,18.443336
3,8,2097152,2000000000,42,18.675428
3,8,2097152,2000000000,42,18.53343
3,8,2097152,2000000000,42,18.813828
3,8,2097152,2000000000,42,18.380066
3,8,2097152,2000000000,42,18.421564
3,16,2097152,2000000000,42,9.599394
3,16,2097152,2000000000,42,9.474605
3,16,2097152,2000000000,42,9.410299
3,16,2097152,2000000000,42,9.736179
3,16,2097152,2000000000,42,9.540143
3,16,2097152,2000000000,42,9.362361
3,32,2097152,2000000000,42,5.211344
3,32,2097152,2000000000,42,5.1340904
3,32,2097152,2000000000,42,5.0985055
3,32,2097152,2000000000,42,5.0867553
3,32,2097152,2000000000,42,5.148183
3,32,2097152,2000000000,42,5.185339
3,48,2097152,2000000000,42,3.5978098
3,48,2097152,2000000000,42,3.493079
3,48,2097152,2000000000,42,3.5311797
3,48,2097152,2000000000,42,3.5490985
3,48,2097152,2000000000,42,3.5588422
3,48,2097152,2000000000,42,3.5156941
3,64,2097152,2000000000,42,2.8523896
3,64,2097152,2000000000,42,2.8692355
3,64,2097152,2000000000,42,2.8513167
3,64,2097152,2000000000,42,2.8751829
3,64,2097152,2000000000,42,2.8728664
3,64,2097152,2000000000,42,2.8875396
3,80,2097152,2000000000,42,2.5262125
3,80,2097152,2000000000,42,2.4390516
3,80,2097152,2000000000,42,2.4783497
3,80,2097152,2000000000,42,2.4649603
3,80,2097152,2000000000,42,2.4758632
3,80,2097152,2000000000,42,2.4469113
3,96,2097152,2000000000,42,2.244791
3,96,2097152,2000000000,42,2.212894
3,96,2097152,2000000000,42,2.2624264
3,96,2097152,2000000000,42,2.2363315
3,96,2097152,2000000000,42,2.253276
3,96,2097152,2000000000,42,2.2643404
3,112,2097152,2000000000,42,2.1899152
3,112,2097152,2000000000,42,2.1299658
3,112,2097152,2000000000,42,2.1251218
3,112,2097152,2000000000,42,2.1398687
3,112,2097152,2000000000,42,2.101487
3,112,2097152,2000000000,42,2.1066568
3,128,2097152,2000000000,42,2.0263329
3,128,2097152,2000000000,42,2.0419564
3,128,2097152,2000000000,42,2.0662339
3,128,2097152,2000000000,42,2.0102866
3,128,2097152,2000000000,42,2.0505354
3,128,2097152,2000000000,42,2.0184357
-1,1,2097152,2000000000,42,142.60426
-1,1,2097152,2000000000,42,142.77527
-1,1,2097152,2000000000,42,142.68504
-1,1,2097152,2000000000,42,141.77507
-1,1,2097152,2000000000,42,141.72752
-1,1,2097152,2000000000,42,141.82278
