version,num_workers,a,b,epsilon,threshold,time_secs
11,2,-10000.000000,4000000.000000,0.000100,1500.000000,106.459741647
11,2,-10000.000000,4000000.000000,0.000100,1500.000000,106.476428306
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.206448508
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.219102015
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.203246051
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.200524309
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.206117578
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.207026565
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.606355287
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.600959575
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.609112419
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.603479061
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.599212714
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.603906274
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.498131130
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.492224930
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.490420805
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.486201385
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.488594338
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.492980533
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.745213837
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.751804788
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.752378876
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.750734866
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.751035946
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.753227042
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.550860808
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.557513402
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.565599549
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.556303605
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.556725888
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.556674646
11,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.563105741
11,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.571029834
11,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.566897787
11,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.570476357
11,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.579821243
11,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.572223461
11,80,-10000.000000,4000000.000000,0.000100,1500.000000,3.026984621
11,80,-10000.000000,4000000.000000,0.000100,1500.000000,3.025239227
11,80,-10000.000000,4000000.000000,0.000100,1500.000000,3.033067037
11,80,-10000.000000,4000000.000000,0.000100,1500.000000,3.022158253
11,80,-10000.000000,4000000.000000,0.000100,1500.000000,3.026544057
11,80,-10000.000000,4000000.000000,0.000100,1500.000000,3.032259832
11,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.661795049
11,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.653064132
11,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.669367870
11,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.653175525
11,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.655532887
11,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.656522868
11,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.376349396
11,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.380381290
11,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.381321149
11,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.377737219
11,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.385101495
11,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.386778885
11,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.188953084
11,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.179292898
11,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.180797905
11,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.181637900
11,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.177312007
11,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.177844494
12,1,-10000.000000,4000000.000000,0.000100,1500.000000,207.899902747
12,1,-10000.000000,4000000.000000,0.000100,1500.000000,207.942140193
12,1,-10000.000000,4000000.000000,0.000100,1500.000000,207.947189596
12,1,-10000.000000,4000000.000000,0.000100,1500.000000,207.963461801
12,1,-10000.000000,4000000.000000,0.000100,1500.000000,207.883045688
12,1,-10000.000000,4000000.000000,0.000100,1500.000000,207.882595251
12,2,-10000.000000,4000000.000000,0.000100,1500.000000,103.855449383
12,2,-10000.000000,4000000.000000,0.000100,1500.000000,103.873892944
12,2,-10000.000000,4000000.000000,0.000100,1500.000000,103.866012050
12,2,-10000.000000,4000000.000000,0.000100,1500.000000,103.883484301
12,2,-10000.000000,4000000.000000,0.000100,1500.000000,103.865251647
12,2,-10000.000000,4000000.000000,0.000100,1500.000000,103.885840571
12,4,-10000.000000,4000000.000000,0.000100,1500.000000,51.918186541
12,4,-10000.000000,4000000.000000,0.000100,1500.000000,51.926549362
12,4,-10000.000000,4000000.000000,0.000100,1500.000000,51.938823669
12,4,-10000.000000,4000000.000000,0.000100,1500.000000,51.919315175
12,4,-10000.000000,4000000.000000,0.000100,1500.000000,51.910939125
12,4,-10000.000000,4000000.000000,0.000100,1500.000000,51.915949674
12,8,-10000.000000,4000000.000000,0.000100,1500.000000,25.950926606
12,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.014343441
12,8,-10000.000000,4000000.000000,0.000100,1500.000000,25.950987469
12,8,-10000.000000,4000000.000000,0.000100,1500.000000,25.951406327
12,8,-10000.000000,4000000.000000,0.000100,1500.000000,25.943418841
12,8,-10000.000000,4000000.000000,0.000100,1500.000000,25.947568055
12,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.160064738
12,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.159112349
12,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.160313446
12,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.155681134
12,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.170142196
12,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.155929832
12,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.763926000
12,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.590396771
12,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.808644868
12,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.588797713
12,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.702906623
12,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.586885893
12,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.453621164
12,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.455113079
12,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.464122305
12,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.458565154
12,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.460533295
12,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.458817703
12,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.515980260
12,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.501622931
12,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.495387550
12,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.495997689
12,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.510250735
12,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.501296710
12,80,-10000.000000,4000000.000000,0.000100,1500.000000,2.985999827
12,80,-10000.000000,4000000.000000,0.000100,1500.000000,2.996282521
12,80,-10000.000000,4000000.000000,0.000100,1500.000000,2.988114031
12,80,-10000.000000,4000000.000000,0.000100,1500.000000,2.972249676
12,80,-10000.000000,4000000.000000,0.000100,1500.000000,2.967187691
12,80,-10000.000000,4000000.000000,0.000100,1500.000000,2.989887016
12,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.620251808
12,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.620963960
12,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.638289400
12,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.658676583
12,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.631494071
12,96,-10000.000000,4000000.000000,0.000100,1500.000000,2.619907237
12,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.363892375
12,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.359613924
12,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.359101969
12,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.363811653
12,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.368009481
12,112,-10000.000000,4000000.000000,0.000100,1500.000000,2.370201198
12,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.175931605
12,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.167579030
12,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.173704097
12,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.178449042
12,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.178812534
12,128,-10000.000000,4000000.000000,0.000100,1500.000000,2.175951836
